,qseqid,qspecies,sseqid,sspecies,dN,dS,dN/dS
35994,Gorai.005G201400.1,Grai,maker-SEQ_532-augustus-gene-217.60-mRNA-1,kirkii,0.0072,0.0594,0.1213
35997,Gorai.005G201400.1,Grai,maker-SEQ_126855-augustus-gene-0.57-mRNA-1,kokia,0.0151,0.1488,0.1016
35998,maker-SEQ_126855-augustus-gene-0.57-mRNA-1,kokia,maker-SEQ_532-augustus-gene-217.60-mRNA-1,kirkii,0.0111,0.0689,0.1603
36003,Gorai.005G201600.1,Grai,maker-SEQ_532-augustus-gene-217.59-mRNA-1,kirkii,0.0054,0.0316,0.1697
36006,Gorai.005G201600.1,Grai,maker-SEQ_126243-augustus-gene-0.22-mRNA-1,kokia,0.0034,0.0439,0.077
36007,maker-SEQ_126243-augustus-gene-0.22-mRNA-1,kokia,maker-SEQ_532-augustus-gene-217.59-mRNA-1,kirkii,0.0049,0.0137,0.3559
36012,Gorai.005G201900.1,Grai,maker-SEQ_532-snap-gene-216.90-mRNA-1,kirkii,0.0117,0.0883,0.1322
36015,Gorai.005G201900.1,Grai,maker-SEQ_126243-augustus-gene-0.20-mRNA-1,kokia,0.0118,0.1413,0.0835
36016,maker-SEQ_126243-augustus-gene-0.20-mRNA-1,kokia,maker-SEQ_532-snap-gene-216.90-mRNA-1,kirkii,0.0104,0.0674,0.1551
36021,Gorai.005G202000.1,Grai,maker-SEQ_532-augustus-gene-216.85-mRNA-1,kirkii,0.0104,0.0558,0.1861
36024,Gorai.005G202000.1,Grai,maker-SEQ_126243-augustus-gene-0.23-mRNA-1,kokia,0.0146,0.0556,0.2616
36025,maker-SEQ_126243-augustus-gene-0.23-mRNA-1,kokia,maker-SEQ_532-augustus-gene-216.85-mRNA-1,kirkii,0.0055,0.0331,0.1653
36030,Gorai.005G202200.1,Grai,maker-SEQ_532-augustus-gene-216.83-mRNA-1,kirkii,0.0069,0.0789,0.0881
36033,Gorai.005G202200.1,Grai,maker-SEQ_125500-augustus-gene-0.30-mRNA-1,kokia,0.0125,0.0747,0.1675
36034,maker-SEQ_125500-augustus-gene-0.30-mRNA-1,kokia,maker-SEQ_532-augustus-gene-216.83-mRNA-1,kirkii,0.0086,0.0175,0.492
36039,Gorai.005G202300.1,Grai,maker-SEQ_532-augustus-gene-216.79-mRNA-1,kirkii,0.004,0.0482,0.0835
36042,Gorai.005G202300.1,Grai,genemark-SEQ_125500-processed-gene-0.7-mRNA-1,kokia,0.0066,0.0569,0.1167
36043,genemark-SEQ_125500-processed-gene-0.7-mRNA-1,kokia,maker-SEQ_532-augustus-gene-216.79-mRNA-1,kirkii,0.0075,0.0393,0.191
36048,Gorai.005G202600.1,Grai,maker-SEQ_367-augustus-gene-80.69-mRNA-1,kirkii,0.1438,6.3934,0.0225
36051,Gorai.005G202600.1,Grai,augustus_masked-SEQ_130240-processed-gene-4.58-mRNA-1,kokia,0.1767,11.2168,0.0158
36052,augustus_masked-SEQ_130240-processed-gene-4.58-mRNA-1,kokia,maker-SEQ_367-augustus-gene-80.69-mRNA-1,kirkii,0.1758,69.1762,0.0025
36057,Gorai.005G204100.1,Grai,genemark-SEQ_532-processed-gene-215.15-mRNA-1,kirkii,0.0093,0.0828,0.1122
36060,Gorai.005G204100.1,Grai,maker-SEQ_130370-augustus-gene-0.44-mRNA-1,kokia,0.0058,0.0739,0.0784
36061,genemark-SEQ_532-processed-gene-215.15-mRNA-1,kirkii,maker-SEQ_130370-augustus-gene-0.44-mRNA-1,kokia,0.0126,0.0634,0.1985
36066,Gorai.005G204500.1,Grai,genemark-SEQ_532-processed-gene-215.11-mRNA-1,kirkii,0.0129,0.177,0.0731
36069,Gorai.005G204500.1,Grai,maker-SEQ_130370-augustus-gene-0.43-mRNA-1,kokia,0.0141,0.1092,0.1291
36070,genemark-SEQ_532-processed-gene-215.11-mRNA-1,kirkii,maker-SEQ_130370-augustus-gene-0.43-mRNA-1,kokia,0.0117,0.0888,0.1315
36075,Gorai.005G204600.1,Grai,maker-SEQ_532-snap-gene-215.80-mRNA-1,kirkii,0.0112,0.068,0.1652
36078,Gorai.005G204600.1,Grai,augustus_masked-SEQ_130370-processed-gene-0.28-mRNA-1,kokia,0.0161,0.0756,0.2124
36079,augustus_masked-SEQ_130370-processed-gene-0.28-mRNA-1,kokia,maker-SEQ_532-snap-gene-215.80-mRNA-1,kirkii,0.0047,0.0162,0.292
36084,Gorai.005G205100.1,Grai,genemark-SEQ_532-processed-gene-214.11-mRNA-1,kirkii,0.0155,0.0665,0.233
36087,Gorai.005G205100.1,Grai,genemark-SEQ_130221-processed-gene-0.14-mRNA-1,kokia,0.0114,0.0822,0.1382
36088,genemark-SEQ_130221-processed-gene-0.14-mRNA-1,kokia,genemark-SEQ_532-processed-gene-214.11-mRNA-1,kirkii,0.0079,0.0609,0.1298
36093,Gorai.005G206300.1,Grai,maker-SEQ_532-augustus-gene-214.95-mRNA-1,kirkii,0.0068,0.053,0.1285
36096,Gorai.005G206300.1,Grai,augustus_masked-SEQ_130221-processed-gene-0.31-mRNA-1,kokia,0.0081,0.0676,0.1196
36097,augustus_masked-SEQ_130221-processed-gene-0.31-mRNA-1,kokia,maker-SEQ_532-augustus-gene-214.95-mRNA-1,kirkii,0.0026,0.0139,0.1849
36102,Gorai.005G206400.1,Grai,maker-SEQ_532-augustus-gene-214.94-mRNA-1,kirkii,0.003,0.064,0.0461
36105,Gorai.005G206400.1,Grai,maker-SEQ_121551-augustus-gene-0.11-mRNA-1,kokia,0.0074,0.0661,0.1121
36106,maker-SEQ_121551-augustus-gene-0.11-mRNA-1,kokia,maker-SEQ_532-augustus-gene-214.94-mRNA-1,kirkii,0.0042,0.0294,0.1442
36111,Gorai.005G207000.1,Grai,maker-SEQ_532-snap-gene-213.97-mRNA-1,kirkii,0.0126,0.0889,0.1417
36114,Gorai.005G207000.1,Grai,maker-SEQ_122183-augustus-gene-0.33-mRNA-1,kokia,0.0253,0.1489,0.1702
36115,maker-SEQ_122183-augustus-gene-0.33-mRNA-1,kokia,maker-SEQ_532-snap-gene-213.97-mRNA-1,kirkii,0.0127,0.1113,0.1142
36120,Gorai.005G207200.1,Grai,genemark-SEQ_532-processed-gene-213.36-mRNA-1,kirkii,0.0054,0.1274,0.0424
36123,Gorai.005G207200.1,Grai,genemark-SEQ_122183-processed-gene-0.10-mRNA-1,kokia,0.0074,0.1487,0.0496
36124,genemark-SEQ_122183-processed-gene-0.10-mRNA-1,kokia,genemark-SEQ_532-processed-gene-213.36-mRNA-1,kirkii,0.0014,0.0781,0.0177
36129,Gorai.005G207300.1,Grai,maker-SEQ_532-snap-gene-213.89-mRNA-1,kirkii,0.0065,0.1029,0.0633
36132,Gorai.005G207300.1,Grai,maker-SEQ_122183-augustus-gene-0.27-mRNA-1,kokia,0.0083,0.0966,0.0863
36133,maker-SEQ_122183-augustus-gene-0.27-mRNA-1,kokia,maker-SEQ_532-snap-gene-213.89-mRNA-1,kirkii,0.0036,0.0608,0.0587
36138,Gorai.005G207400.1,Grai,maker-SEQ_532-augustus-gene-213.85-mRNA-1,kirkii,0.0146,0.0358,0.4077
36141,Gorai.005G207400.1,Grai,maker-SEQ_122183-augustus-gene-0.31-mRNA-1,kokia,0.0191,0.079,0.242
36142,maker-SEQ_122183-augustus-gene-0.31-mRNA-1,kokia,maker-SEQ_532-augustus-gene-213.85-mRNA-1,kirkii,0.0025,0.0,99.0
36147,Gorai.005G207500.1,Grai,maker-SEQ_532-augustus-gene-213.78-mRNA-1,kirkii,0.0098,0.0532,0.1835
36150,Gorai.005G207500.1,Grai,maker-SEQ_126425-augustus-gene-0.36-mRNA-1,kokia,0.0098,0.059,0.1667
36151,maker-SEQ_126425-augustus-gene-0.36-mRNA-1,kokia,maker-SEQ_532-augustus-gene-213.78-mRNA-1,kirkii,0.0,0.0126,0.001
36156,Gorai.005G207800.1,Grai,maker-SEQ_532-snap-gene-213.93-mRNA-1,kirkii,0.0253,0.1328,0.1906
36159,Gorai.005G207800.1,Grai,maker-SEQ_126425-augustus-gene-0.33-mRNA-1,kokia,0.0199,0.0816,0.2433
36160,maker-SEQ_126425-augustus-gene-0.33-mRNA-1,kokia,maker-SEQ_532-snap-gene-213.93-mRNA-1,kirkii,0.0135,0.104,0.1298
36165,Gorai.005G207900.1,Grai,snap_masked-SEQ_532-processed-gene-213.64-mRNA-1,kirkii,0.0138,0.1106,0.1245
36168,Gorai.005G207900.1,Grai,augustus_masked-SEQ_126425-processed-gene-0.24-mRNA-1,kokia,0.0086,0.0683,0.1255
36169,augustus_masked-SEQ_126425-processed-gene-0.24-mRNA-1,kokia,snap_masked-SEQ_532-processed-gene-213.64-mRNA-1,kirkii,0.0045,0.064,0.0704
36174,Gorai.005G208000.1,Grai,snap_masked-SEQ_532-processed-gene-212.58-mRNA-1,kirkii,0.0041,0.0405,0.1007
36177,Gorai.005G208000.1,Grai,maker-SEQ_126425-augustus-gene-0.35-mRNA-1,kokia,0.004,0.0398,0.101
36178,maker-SEQ_126425-augustus-gene-0.35-mRNA-1,kokia,snap_masked-SEQ_532-processed-gene-212.58-mRNA-1,kirkii,0.0016,0.0164,0.0969
36183,Gorai.005G208500.1,Grai,maker-SEQ_532-augustus-gene-212.61-mRNA-1,kirkii,0.005,0.106,0.0471
36186,Gorai.005G208500.1,Grai,maker-SEQ_120395-augustus-gene-0.7-mRNA-1,kokia,0.006,0.1201,0.0497
36187,maker-SEQ_120395-augustus-gene-0.7-mRNA-1,kokia,maker-SEQ_532-augustus-gene-212.61-mRNA-1,kirkii,0.0034,0.0552,0.0619
36192,Gorai.005G208600.1,Grai,maker-SEQ_532-augustus-gene-212.64-mRNA-1,kirkii,0.0052,0.0572,0.0914
36195,Gorai.005G208600.1,Grai,maker-SEQ_118919-augustus-gene-0.32-mRNA-1,kokia,0.0054,0.0713,0.075
36196,maker-SEQ_118919-augustus-gene-0.32-mRNA-1,kokia,maker-SEQ_532-augustus-gene-212.64-mRNA-1,kirkii,0.0018,0.0267,0.0689
36201,Gorai.005G208900.1,Grai,augustus_masked-SEQ_532-processed-gene-212.1-mRNA-1,kirkii,0.0059,0.0769,0.0772
36204,Gorai.005G208900.1,Grai,augustus_masked-SEQ_118919-processed-gene-0.27-mRNA-1,kokia,0.0075,0.0844,0.0893
36205,augustus_masked-SEQ_118919-processed-gene-0.27-mRNA-1,kokia,augustus_masked-SEQ_532-processed-gene-212.1-mRNA-1,kirkii,0.0061,0.0293,0.2074
36210,Gorai.005G209100.1,Grai,maker-SEQ_532-augustus-gene-212.59-mRNA-1,kirkii,0.0123,0.0648,0.1899
36213,Gorai.005G209100.1,Grai,maker-SEQ_118919-augustus-gene-0.40-mRNA-1,kokia,0.0137,0.0682,0.2011
36214,maker-SEQ_118919-augustus-gene-0.40-mRNA-1,kokia,maker-SEQ_532-augustus-gene-212.59-mRNA-1,kirkii,0.0031,0.0475,0.0644
36219,Gorai.005G209200.1,Grai,maker-SEQ_532-augustus-gene-211.70-mRNA-1,kirkii,0.0045,0.0566,0.0795
36222,Gorai.005G209200.1,Grai,maker-SEQ_118919-augustus-gene-0.33-mRNA-1,kokia,0.0112,0.0568,0.1975
36223,maker-SEQ_118919-augustus-gene-0.33-mRNA-1,kokia,maker-SEQ_532-augustus-gene-211.70-mRNA-1,kirkii,0.0025,0.0217,0.1129
36228,Gorai.005G209500.1,Grai,maker-SEQ_532-augustus-gene-211.64-mRNA-1,kirkii,0.0182,0.1003,0.1814
36231,Gorai.005G209500.1,Grai,maker-SEQ_118919-augustus-gene-0.41-mRNA-1,kokia,0.0221,0.0914,0.2421
36232,maker-SEQ_118919-augustus-gene-0.41-mRNA-1,kokia,maker-SEQ_532-augustus-gene-211.64-mRNA-1,kirkii,0.0072,0.0502,0.1426
36237,Gorai.005G209600.1,Grai,maker-SEQ_532-snap-gene-211.75-mRNA-1,kirkii,0.0276,0.1577,0.1753
36240,Gorai.005G209600.1,Grai,maker-SEQ_118919-augustus-gene-0.42-mRNA-1,kokia,0.0256,0.1861,0.1376
36241,maker-SEQ_118919-augustus-gene-0.42-mRNA-1,kokia,maker-SEQ_532-snap-gene-211.75-mRNA-1,kirkii,0.0067,0.0864,0.078
36246,Gorai.005G209800.1,Grai,genemark-SEQ_532-processed-gene-211.33-mRNA-1,kirkii,0.0107,0.0722,0.1478
36249,Gorai.005G209800.1,Grai,maker-SEQ_118919-augustus-gene-0.35-mRNA-1,kokia,0.0021,0.0563,0.0366
36250,genemark-SEQ_532-processed-gene-211.33-mRNA-1,kirkii,maker-SEQ_118919-augustus-gene-0.35-mRNA-1,kokia,0.0079,0.1288,0.0614
36255,Gorai.005G210000.1,Grai,maker-SEQ_532-snap-gene-211.79-mRNA-1,kirkii,0.0054,0.0646,0.0831
36258,Gorai.005G210000.1,Grai,maker-SEQ_118919-augustus-gene-0.37-mRNA-1,kokia,0.0063,0.0619,0.1019
36259,maker-SEQ_118919-augustus-gene-0.37-mRNA-1,kokia,maker-SEQ_532-snap-gene-211.79-mRNA-1,kirkii,0.0036,0.0339,0.1058
36264,Gorai.005G210200.1,Grai,augustus_masked-SEQ_532-processed-gene-211.4-mRNA-1,kirkii,0.0047,0.0549,0.0855
36267,Gorai.005G210200.1,Grai,maker-SEQ_130184-augustus-gene-0.45-mRNA-1,kokia,0.0083,0.0774,0.1072
36268,augustus_masked-SEQ_532-processed-gene-211.4-mRNA-1,kirkii,maker-SEQ_130184-augustus-gene-0.45-mRNA-1,kokia,0.0067,0.0374,0.1777
36273,Gorai.005G210800.1,Grai,maker-SEQ_532-augustus-gene-211.58-mRNA-1,kirkii,0.0205,0.0442,0.4631
36276,Gorai.005G210800.1,Grai,augustus_masked-SEQ_130184-processed-gene-1.41-mRNA-1,kokia,0.0202,0.0641,0.3156
36277,augustus_masked-SEQ_130184-processed-gene-1.41-mRNA-1,kokia,maker-SEQ_532-augustus-gene-211.58-mRNA-1,kirkii,0.0065,0.0332,0.196
36282,Gorai.005G211300.1,Grai,maker-SEQ_532-snap-gene-210.80-mRNA-1,kirkii,0.0098,0.0766,0.1279
36285,Gorai.005G211300.1,Grai,maker-SEQ_130184-augustus-gene-1.51-mRNA-1,kokia,0.0098,0.0598,0.164
36286,maker-SEQ_130184-augustus-gene-1.51-mRNA-1,kokia,maker-SEQ_532-snap-gene-210.80-mRNA-1,kirkii,0.0046,0.0299,0.1551
36291,Gorai.005G211700.1,Grai,genemark-SEQ_532-processed-gene-210.21-mRNA-1,kirkii,0.0123,0.0783,0.1576
36294,Gorai.005G211700.1,Grai,genemark-SEQ_130184-processed-gene-1.21-mRNA-1,kokia,0.0117,0.0648,0.1813
36295,genemark-SEQ_130184-processed-gene-1.21-mRNA-1,kokia,genemark-SEQ_532-processed-gene-210.21-mRNA-1,kirkii,0.0056,0.0206,0.2706
36300,Gorai.005G212000.1,Grai,maker-SEQ_532-augustus-gene-210.63-mRNA-1,kirkii,0.003,0.0647,0.0461
36303,Gorai.005G212000.1,Grai,maker-SEQ_130184-augustus-gene-1.58-mRNA-1,kokia,0.002,0.0856,0.0234
36304,maker-SEQ_130184-augustus-gene-1.58-mRNA-1,kokia,maker-SEQ_532-augustus-gene-210.63-mRNA-1,kirkii,0.001,0.0259,0.0381
36309,Gorai.005G212200.1,Grai,maker-SEQ_532-augustus-gene-209.71-mRNA-1,kirkii,0.0097,0.0787,0.1228
36312,Gorai.005G212200.1,Grai,maker-SEQ_116126-augustus-gene-0.75-mRNA-1,kokia,0.0087,0.0794,0.1101
36313,maker-SEQ_116126-augustus-gene-0.75-mRNA-1,kokia,maker-SEQ_532-augustus-gene-209.71-mRNA-1,kirkii,0.0011,0.0296,0.0368
36318,Gorai.005G213400.1,Grai,maker-SEQ_532-augustus-gene-208.68-mRNA-1,kirkii,0.0075,0.0852,0.0884
36321,Gorai.005G213400.1,Grai,maker-SEQ_116126-augustus-gene-0.56-mRNA-1,kokia,0.0099,0.079,0.1252
36322,maker-SEQ_116126-augustus-gene-0.56-mRNA-1,kokia,maker-SEQ_532-augustus-gene-208.68-mRNA-1,kirkii,0.0033,0.0322,0.1038
36327,Gorai.005G213600.1,Grai,maker-SEQ_532-augustus-gene-208.76-mRNA-1,kirkii,0.006,0.1066,0.0559
36330,Gorai.005G213600.1,Grai,maker-SEQ_116126-augustus-gene-0.73-mRNA-1,kokia,0.0044,0.109,0.0401
36331,maker-SEQ_116126-augustus-gene-0.73-mRNA-1,kokia,maker-SEQ_532-augustus-gene-208.76-mRNA-1,kirkii,0.0063,0.0603,0.104
36336,Gorai.005G213900.1,Grai,maker-SEQ_532-snap-gene-208.89-mRNA-1,kirkii,0.0036,0.0755,0.0482
36339,Gorai.005G213900.1,Grai,genemark-SEQ_116126-processed-gene-0.19-mRNA-1,kokia,0.0055,0.1633,0.0338
36340,genemark-SEQ_116126-processed-gene-0.19-mRNA-1,kokia,maker-SEQ_532-snap-gene-208.89-mRNA-1,kirkii,0.0081,0.0638,0.1271
36345,Gorai.005G214100.1,Grai,maker-SEQ_532-augustus-gene-208.72-mRNA-1,kirkii,0.0057,0.0916,0.0623
36348,Gorai.005G214100.1,Grai,maker-SEQ_116126-augustus-gene-0.67-mRNA-1,kokia,0.0067,0.098,0.068
36349,maker-SEQ_116126-augustus-gene-0.67-mRNA-1,kokia,maker-SEQ_532-augustus-gene-208.72-mRNA-1,kirkii,0.0035,0.0274,0.1293
36354,Gorai.005G214200.1,Grai,maker-SEQ_532-augustus-gene-208.71-mRNA-1,kirkii,0.0071,0.0549,0.1301
36357,Gorai.005G214200.1,Grai,maker-SEQ_116126-augustus-gene-0.66-mRNA-1,kokia,0.0084,0.0603,0.139
36358,maker-SEQ_116126-augustus-gene-0.66-mRNA-1,kokia,maker-SEQ_532-augustus-gene-208.71-mRNA-1,kirkii,0.003,0.0251,0.12
36363,Gorai.005G214400.1,Grai,maker-SEQ_532-snap-gene-208.84-mRNA-1,kirkii,0.0076,0.0692,0.1092
36366,Gorai.005G214400.1,Grai,augustus_masked-SEQ_130109-processed-gene-3.20-mRNA-1,kokia,0.0082,0.0876,0.0936
36367,augustus_masked-SEQ_130109-processed-gene-3.20-mRNA-1,kokia,maker-SEQ_532-snap-gene-208.84-mRNA-1,kirkii,0.0041,0.0359,0.1152
36372,Gorai.005G214600.1,Grai,genemark-SEQ_532-processed-gene-208.17-mRNA-1,kirkii,0.0186,0.1141,0.163
36375,Gorai.005G214600.1,Grai,maker-SEQ_130109-augustus-gene-3.39-mRNA-1,kokia,0.0027,0.1002,0.0266
36376,genemark-SEQ_532-processed-gene-208.17-mRNA-1,kirkii,maker-SEQ_130109-augustus-gene-3.39-mRNA-1,kokia,0.0166,0.0578,0.2877
36381,Gorai.005G214900.1,Grai,maker-SEQ_532-augustus-gene-207.57-mRNA-1,kirkii,0.0042,0.0281,0.1489
36384,Gorai.005G214900.1,Grai,genemark-SEQ_130109-processed-gene-3.7-mRNA-1,kokia,0.0221,0.0661,0.3344
36385,genemark-SEQ_130109-processed-gene-3.7-mRNA-1,kokia,maker-SEQ_532-augustus-gene-207.57-mRNA-1,kirkii,0.0146,0.0474,0.308
36390,Gorai.005G215900.1,Grai,maker-SEQ_532-snap-gene-206.75-mRNA-1,kirkii,0.0085,0.0611,0.1388
36393,Gorai.005G215900.1,Grai,genemark-SEQ_120742-processed-gene-0.9-mRNA-1,kokia,0.0098,0.0696,0.1407
36394,genemark-SEQ_120742-processed-gene-0.9-mRNA-1,kokia,maker-SEQ_532-snap-gene-206.75-mRNA-1,kirkii,0.0029,0.0318,0.0903
36399,Gorai.005G216000.1,Grai,maker-SEQ_532-augustus-gene-206.72-mRNA-1,kirkii,0.0041,0.0346,0.1175
36402,Gorai.005G216000.1,Grai,maker-SEQ_120742-augustus-gene-0.32-mRNA-1,kokia,0.006,0.0417,0.1429
36403,maker-SEQ_120742-augustus-gene-0.32-mRNA-1,kokia,maker-SEQ_532-augustus-gene-206.72-mRNA-1,kirkii,0.0,0.0131,0.001
36408,Gorai.005G216200.1,Grai,augustus_masked-SEQ_532-processed-gene-206.34-mRNA-1,kirkii,0.0065,0.0664,0.0987
36411,Gorai.005G216200.1,Grai,augustus_masked-SEQ_120742-processed-gene-0.19-mRNA-1,kokia,0.0074,0.0738,0.1009
36412,augustus_masked-SEQ_120742-processed-gene-0.19-mRNA-1,kokia,augustus_masked-SEQ_532-processed-gene-206.34-mRNA-1,kirkii,0.0029,0.0274,0.1073
36417,Gorai.005G216300.1,Grai,maker-SEQ_532-augustus-gene-206.70-mRNA-1,kirkii,0.0001,0.0797,0.001
36420,Gorai.005G216300.1,Grai,maker-SEQ_120742-augustus-gene-0.34-mRNA-1,kokia,0.0001,0.0705,0.001
36421,maker-SEQ_120742-augustus-gene-0.34-mRNA-1,kokia,maker-SEQ_532-augustus-gene-206.70-mRNA-1,kirkii,0.0,0.0414,0.001
36426,Gorai.005G216600.1,Grai,maker-SEQ_532-snap-gene-206.77-mRNA-1,kirkii,0.0123,0.0638,0.1933
36429,Gorai.005G216600.1,Grai,maker-SEQ_120742-augustus-gene-0.35-mRNA-1,kokia,0.013,0.0777,0.1677
36430,maker-SEQ_120742-augustus-gene-0.35-mRNA-1,kokia,maker-SEQ_532-snap-gene-206.77-mRNA-1,kirkii,0.0033,0.0303,0.1101
36435,Gorai.005G217100.1,Grai,maker-SEQ_532-augustus-gene-206.68-mRNA-1,kirkii,0.0122,0.0912,0.1338
36438,Gorai.005G217100.1,Grai,maker-SEQ_121627-augustus-gene-0.12-mRNA-1,kokia,0.0135,0.0924,0.146
36439,maker-SEQ_121627-augustus-gene-0.12-mRNA-1,kokia,maker-SEQ_532-augustus-gene-206.68-mRNA-1,kirkii,0.0058,0.032,0.1804
36444,Gorai.005G217700.1,Grai,augustus_masked-SEQ_532-processed-gene-205.6-mRNA-1,kirkii,0.0047,0.0654,0.0719
36447,Gorai.005G217700.1,Grai,augustus_masked-SEQ_129867-processed-gene-0.10-mRNA-1,kokia,0.0072,0.0863,0.0834
36448,augustus_masked-SEQ_129867-processed-gene-0.10-mRNA-1,kokia,augustus_masked-SEQ_532-processed-gene-205.6-mRNA-1,kirkii,0.0064,0.0393,0.1641
36453,Gorai.005G218000.1,Grai,maker-SEQ_532-augustus-gene-205.62-mRNA-1,kirkii,0.0097,0.0661,0.1463
36456,Gorai.005G218000.1,Grai,maker-SEQ_126326-augustus-gene-0.36-mRNA-1,kokia,0.0091,0.0661,0.1379
36457,maker-SEQ_126326-augustus-gene-0.36-mRNA-1,kokia,maker-SEQ_532-augustus-gene-205.62-mRNA-1,kirkii,0.0024,0.0275,0.0884
36462,Gorai.005G218200.1,Grai,maker-SEQ_532-snap-gene-204.79-mRNA-1,kirkii,0.0075,0.098,0.0767
36465,Gorai.005G218200.1,Grai,augustus_masked-SEQ_126326-processed-gene-0.16-mRNA-1,kokia,0.0117,0.1486,0.0789
36466,augustus_masked-SEQ_126326-processed-gene-0.16-mRNA-1,kokia,maker-SEQ_532-snap-gene-204.79-mRNA-1,kirkii,0.0088,0.0976,0.0901
36471,Gorai.005G218300.1,Grai,maker-SEQ_532-augustus-gene-204.65-mRNA-1,kirkii,0.0021,0.0601,0.0356
36474,Gorai.005G218300.1,Grai,maker-SEQ_126326-augustus-gene-0.33-mRNA-1,kokia,0.0096,0.1203,0.0802
36475,maker-SEQ_126326-augustus-gene-0.33-mRNA-1,kokia,maker-SEQ_532-augustus-gene-204.65-mRNA-1,kirkii,0.0126,0.1183,0.1066
36480,Gorai.005G218400.1,Grai,maker-SEQ_532-snap-gene-204.72-mRNA-1,kirkii,0.0039,0.0877,0.0441
36483,Gorai.005G218400.1,Grai,augustus_masked-SEQ_126326-processed-gene-0.26-mRNA-1,kokia,0.0057,0.1177,0.0485
36484,augustus_masked-SEQ_126326-processed-gene-0.26-mRNA-1,kokia,maker-SEQ_532-snap-gene-204.72-mRNA-1,kirkii,0.0046,0.0513,0.0888
36489,Gorai.005G218500.1,Grai,maker-SEQ_532-augustus-gene-204.64-mRNA-1,kirkii,0.0088,0.0952,0.0922
36492,Gorai.005G218500.1,Grai,maker-SEQ_126326-augustus-gene-0.34-mRNA-1,kokia,0.0119,0.0837,0.1417
36493,maker-SEQ_126326-augustus-gene-0.34-mRNA-1,kokia,maker-SEQ_532-augustus-gene-204.64-mRNA-1,kirkii,0.0055,0.0581,0.0951
36498,Gorai.005G218700.1,Grai,maker-SEQ_532-augustus-gene-204.60-mRNA-1,kirkii,0.009,0.0763,0.1174
36501,Gorai.005G218700.1,Grai,maker-SEQ_126326-augustus-gene-0.37-mRNA-1,kokia,0.0376,0.0968,0.3887
36502,maker-SEQ_126326-augustus-gene-0.37-mRNA-1,kokia,maker-SEQ_532-augustus-gene-204.60-mRNA-1,kirkii,0.0355,0.1062,0.3341
36507,Gorai.005G218800.1,Grai,genemark-SEQ_532-processed-gene-204.15-mRNA-1,kirkii,0.0094,0.0678,0.1393
36510,Gorai.005G218800.1,Grai,maker-SEQ_126326-augustus-gene-0.38-mRNA-1,kokia,0.0166,0.0712,0.2333
36511,genemark-SEQ_532-processed-gene-204.15-mRNA-1,kirkii,maker-SEQ_126326-augustus-gene-0.38-mRNA-1,kokia,0.0068,0.0374,0.1812
36516,Gorai.005G219100.1,Grai,maker-SEQ_532-augustus-gene-204.58-mRNA-1,kirkii,0.0072,0.0321,0.2249
36519,Gorai.005G219100.1,Grai,maker-SEQ_120597-augustus-gene-0.5-mRNA-1,kokia,0.0074,0.031,0.2382
36520,maker-SEQ_120597-augustus-gene-0.5-mRNA-1,kokia,maker-SEQ_532-augustus-gene-204.58-mRNA-1,kirkii,0.0028,0.0335,0.0831
36525,Gorai.005G219500.1,Grai,augustus_masked-SEQ_532-processed-gene-203.11-mRNA-1,kirkii,0.0124,0.0751,0.1652
36528,Gorai.005G219500.1,Grai,augustus_masked-SEQ_126434-processed-gene-0.32-mRNA-1,kokia,0.0171,0.0776,0.2204
36529,augustus_masked-SEQ_126434-processed-gene-0.32-mRNA-1,kokia,augustus_masked-SEQ_532-processed-gene-203.11-mRNA-1,kirkii,0.0035,0.0466,0.0746
36534,Gorai.005G219700.1,Grai,maker-SEQ_532-snap-gene-203.73-mRNA-1,kirkii,0.0038,0.0346,0.1088
36537,Gorai.005G219700.1,Grai,maker-SEQ_126434-augustus-gene-0.56-mRNA-1,kokia,0.0001,0.0554,0.001
36538,maker-SEQ_126434-augustus-gene-0.56-mRNA-1,kokia,maker-SEQ_532-snap-gene-203.73-mRNA-1,kirkii,0.0048,0.0077,0.6244
36543,Gorai.005G219800.1,Grai,maker-SEQ_532-snap-gene-203.72-mRNA-1,kirkii,0.0079,0.0989,0.0801
36546,Gorai.005G219800.1,Grai,maker-SEQ_126434-augustus-gene-0.57-mRNA-1,kokia,0.0055,0.1119,0.0487
36547,maker-SEQ_126434-augustus-gene-0.57-mRNA-1,kokia,maker-SEQ_532-snap-gene-203.72-mRNA-1,kirkii,0.0046,0.0253,0.1805
36552,Gorai.005G220300.1,Grai,maker-SEQ_532-augustus-gene-203.65-mRNA-1,kirkii,0.0095,0.093,0.1026
36555,Gorai.005G220300.1,Grai,maker-SEQ_126434-augustus-gene-0.53-mRNA-1,kokia,0.0089,0.0927,0.0958
36556,maker-SEQ_126434-augustus-gene-0.53-mRNA-1,kokia,maker-SEQ_532-augustus-gene-203.65-mRNA-1,kirkii,0.0035,0.0198,0.1759
36561,Gorai.005G220600.1,Grai,maker-SEQ_532-augustus-gene-203.64-mRNA-1,kirkii,0.0091,0.0553,0.1654
36564,Gorai.005G220600.1,Grai,maker-SEQ_126434-augustus-gene-0.54-mRNA-1,kokia,0.0099,0.0778,0.1278
