,qseqid,sseqid,dN,dS,dN/dS
3330,Thecc1EG010417t1,Gorai.012G172300.1,0.0138,0.3508,0.0395
3331,Thecc1EG010430t1,Gorai.009G337000.1,0.012,0.3885,0.0309
3332,Thecc1EG010432t1,Gorai.005G180600.1,0.0394,0.5281,0.0747
3333,Thecc1EG010439t1,Gorai.002G186100.1,0.0194,0.4498,0.0432
3334,Thecc1EG010440t1,Gorai.008G160000.1,0.0316,0.4494,0.0703
3335,Thecc1EG010442t1,Gorai.008G160100.1,0.0435,0.4689,0.0929
3336,Thecc1EG010450t1,Gorai.009G336100.1,0.0395,0.5127,0.0771
3337,Thecc1EG010451t1,Gorai.008G160300.1,0.0158,0.4233,0.0373
3338,Thecc1EG010456t1,Gorai.008G127800.1,0.1304,2.0979,0.0622
3339,Thecc1EG010459t1,Gorai.005G180300.1,0.0195,0.4116,0.0473
3340,Thecc1EG010460t1,Gorai.002G186200.1,0.0329,0.3176,0.1036
3341,Thecc1EG010462t1,Gorai.005G180400.1,0.0583,0.4972,0.1173
3342,Thecc1EG010463t1,Gorai.005G180200.1,0.0291,0.3425,0.085
3343,Thecc1EG010465t1,Gorai.002G187400.1,0.0208,0.4697,0.0444
3344,Thecc1EG010471t1,Gorai.005G180100.1,0.0379,0.4935,0.0768
3345,Thecc1EG010473t1,Gorai.005G179900.1,0.0462,0.5216,0.0885
3346,Thecc1EG010474t1,Gorai.005G179800.1,0.0524,0.3267,0.1605
3347,Thecc1EG010477t1,Gorai.012G172600.1,0.0289,0.4555,0.0635
3348,Thecc1EG010478t1,Gorai.012G172700.1,0.0317,0.4314,0.0734
3349,Thecc1EG010479t1,Gorai.005G179600.1,0.0214,0.3642,0.0588
3350,Thecc1EG010482t1,Gorai.008G160600.1,0.1189,1.9483,0.061
3351,Thecc1EG010487t1,Gorai.009G335800.1,0.0227,0.3759,0.0604
3352,Thecc1EG010488t1,Gorai.005G179400.1,0.0215,0.3833,0.0562
3353,Thecc1EG010489t1,Gorai.008G160800.1,0.0167,0.2665,0.0627
3354,Thecc1EG010511t1,Gorai.002G186600.1,0.0171,0.2788,0.0615
3355,Thecc1EG010512t1,Gorai.002G186500.1,0.0293,0.2626,0.1116
3356,Thecc1EG010513t1,Gorai.012G173000.1,0.0364,0.3807,0.0955
3357,Thecc1EG010515t1,Gorai.005G178600.1,0.0507,0.4861,0.1043
3358,Thecc1EG010516t1,Gorai.005G178500.1,0.0296,0.4198,0.0704
3359,Thecc1EG010524t1,Gorai.005G178300.1,0.0309,0.3689,0.0838
3360,Thecc1EG010526t1,Gorai.005G178200.1,0.0359,0.3614,0.0994
3361,Thecc1EG010537t1,Gorai.012G173100.1,0.0388,0.4984,0.0779
3362,Thecc1EG010540t1,Gorai.002G187500.1,0.0447,0.4954,0.0903
3363,Thecc1EG010541t1,Gorai.005G177800.1,0.0879,0.6042,0.1455
3364,Thecc1EG010545t1,Gorai.002G187700.1,0.0241,0.4352,0.0555
3365,Thecc1EG010553t1,Gorai.005G177500.1,0.159,84.5584,0.0019
3366,Thecc1EG010561t1,Gorai.005G177400.1,0.0232,0.3258,0.0711
3367,Thecc1EG010563t1,Gorai.005G177300.1,0.0331,0.3742,0.0884
3368,Thecc1EG010582t1,Gorai.005G176800.1,0.0432,0.5497,0.0786
3369,Thecc1EG010585t1,Gorai.002G188100.1,0.0263,0.4121,0.0639
3370,Thecc1EG010592t1,Gorai.005G176600.1,0.0271,0.3049,0.0889
3371,Thecc1EG010594t1,Gorai.008G161400.1,0.0166,0.3405,0.0488
3372,Thecc1EG010596t1,Gorai.009G233700.1,0.0339,0.5079,0.0668
3373,Thecc1EG010599t1,Gorai.002G188300.1,0.0596,0.4407,0.1352
3374,Thecc1EG010603t1,Gorai.002G188400.1,0.0471,0.3895,0.121
3375,Thecc1EG010606t1,Gorai.012G173300.1,0.0502,0.3159,0.1589
3376,Thecc1EG010608t1,Gorai.005G176200.1,0.0667,0.613,0.1089
3377,Thecc1EG010619t1,Gorai.008G161500.1,0.0374,0.5765,0.0649
3378,Thecc1EG010623t1,Gorai.005G175900.1,0.0256,0.3674,0.0696
3379,Thecc1EG010625t1,Gorai.002G188500.1,0.0559,0.4851,0.1153
3380,Thecc1EG010629t1,Gorai.009G335200.1,0.0291,0.4366,0.0667
3381,Thecc1EG010631t1,Gorai.012G173500.1,0.0324,0.3043,0.1066
3382,Thecc1EG010637t1,Gorai.002G188600.1,0.0373,0.4953,0.0753
3383,Thecc1EG010638t1,Gorai.005G175500.1,0.05,0.4375,0.1143
3384,Thecc1EG010640t1,Gorai.005G175300.1,0.0517,0.328,0.1575
3385,Thecc1EG010641t1,Gorai.005G175200.1,0.0488,0.4051,0.1206
3386,Thecc1EG010648t1,Gorai.005G175100.1,0.0377,0.4839,0.0779
3387,Thecc1EG010651t1,Gorai.002G188900.1,0.0274,0.4645,0.0589
3388,Thecc1EG010654t1,Gorai.008G161800.1,0.0344,0.4652,0.0739
3389,Thecc1EG010655t1,Gorai.002G189200.1,0.0705,0.898,0.0786
3390,Thecc1EG010656t1,Gorai.005G175000.1,0.0311,0.506,0.0614
3391,Thecc1EG010657t1,Gorai.008G162100.1,0.045,0.398,0.113
3392,Thecc1EG010658t1,Gorai.008G288600.1,0.0253,0.4483,0.0564
3393,Thecc1EG010659t1,Gorai.005G174900.1,0.0149,0.3024,0.0494
3394,Thecc1EG010661t1,Gorai.005G174800.1,0.0093,0.3977,0.0235
3395,Thecc1EG010670t1,Gorai.008G162400.1,0.0108,0.3591,0.03
3396,Thecc1EG010675t1,Gorai.005G174500.1,0.0126,0.2673,0.0472
3397,Thecc1EG010677t1,Gorai.008G162600.1,0.0359,0.4446,0.0807
3398,Thecc1EG010679t1,Gorai.002G190000.1,0.0332,0.3941,0.0842
3399,Thecc1EG010682t1,Gorai.005G174200.1,0.0634,0.6821,0.0929
3400,Thecc1EG010687t1,Gorai.005G173900.1,0.0549,0.8226,0.0667
3401,Thecc1EG010688t1,Gorai.008G162700.1,0.0311,0.3043,0.1023
3402,Thecc1EG010690t1,Gorai.009G334200.1,0.0559,0.3483,0.1605
3403,Thecc1EG010691t1,Gorai.005G173600.1,0.0501,0.3893,0.1287
3404,Thecc1EG010695t1,Gorai.005G173400.1,0.0288,0.5048,0.057
3405,Thecc1EG010696t1,Gorai.012G174000.1,0.0421,0.7452,0.0565
3406,Thecc1EG010701t1,Gorai.005G173300.1,0.0363,0.5421,0.0669
3407,Thecc1EG010702t1,Gorai.005G173200.1,0.0536,0.4715,0.1137
3408,Thecc1EG010703t1,Gorai.012G174100.1,0.0725,1.2761,0.0568
3409,Thecc1EG010707t1,Gorai.012G174200.1,0.0245,0.5116,0.048
3410,Thecc1EG010711t1,Gorai.002G190500.1,0.0291,0.4752,0.0612
3411,Thecc1EG010741t1,Gorai.005G172800.1,0.0264,0.3369,0.0784
3412,Thecc1EG010743t1,Gorai.012G174400.1,0.0301,0.6167,0.0488
3413,Thecc1EG010744t1,Gorai.005G172700.1,0.0237,0.2967,0.0799
3414,Thecc1EG010745t1,Gorai.009G334100.1,0.0208,0.3611,0.0576
3415,Thecc1EG010749t1,Gorai.005G172600.1,0.037,0.5447,0.0679
3416,Thecc1EG010750t1,Gorai.009G131900.1,0.0236,0.4084,0.0577
3417,Thecc1EG010751t1,Gorai.008G163200.1,0.0157,0.4843,0.0323
3418,Thecc1EG010753t1,Gorai.012G174600.1,0.0314,0.5113,0.0614
3419,Thecc1EG010754t1,Gorai.011G243800.1,0.1707,0.8641,0.1976
3420,Thecc1EG010758t1,Gorai.005G172000.1,0.042,0.452,0.0929
3421,Thecc1EG010759t1,Gorai.005G171800.1,0.0411,0.5086,0.0807
3422,Thecc1EG010760t1,Gorai.005G171700.1,0.066,0.724,0.0912
3423,Thecc1EG010761t1,Gorai.009G333700.1,0.0447,0.4112,0.1087
3424,Thecc1EG010763t1,Gorai.009G333600.1,0.03,0.2526,0.1186
3425,Thecc1EG010764t1,Gorai.005G171500.1,0.0267,0.2904,0.0919
3426,Thecc1EG010765t1,Gorai.005G171400.1,0.0371,0.4077,0.091
3427,Thecc1EG010767t1,Gorai.002G190800.1,0.0304,0.352,0.0863
3428,Thecc1EG010768t1,Gorai.005G171200.1,0.0332,0.3761,0.0882
3429,Thecc1EG010769t1,Gorai.009G333200.1,0.041,0.5731,0.0715
3430,Thecc1EG010770t1,Gorai.005G170300.1,0.0196,0.3664,0.0535
3431,Thecc1EG010771t1,Gorai.009G333100.1,0.0547,0.39,0.1403
3432,Thecc1EG010772t1,Gorai.002G191200.1,0.0481,0.5401,0.089
3433,Thecc1EG010775t1,Gorai.005G170200.1,0.0398,0.5315,0.0749
3434,Thecc1EG010776t1,Gorai.012G175100.1,0.0299,0.4464,0.0669
3435,Thecc1EG010780t1,Gorai.005G170100.1,0.0207,0.3053,0.0679
3436,Thecc1EG010781t1,Gorai.002G184300.1,0.0391,0.4385,0.0892
3437,Thecc1EG010782t1,Gorai.001G109800.1,0.0065,0.2712,0.0241
3438,Thecc1EG010783t1,Gorai.002G184400.1,0.0424,0.3446,0.123
3439,Thecc1EG010785t1,Gorai.005G169900.1,0.0752,0.744,0.1011
3440,Thecc1EG010788t1,Gorai.005G169600.1,0.1197,2.5093,0.0477
3441,Thecc1EG010795t1,Gorai.005G169300.1,0.0181,0.3863,0.0468
3442,Thecc1EG010796t1,Gorai.012G175200.1,0.0125,0.4117,0.0303
3443,Thecc1EG010797t1,Gorai.005G169100.1,0.0197,0.6296,0.0312
3444,Thecc1EG010800t1,Gorai.002G191900.1,0.0683,0.6597,0.1035
3445,Thecc1EG010810t1,Gorai.005G163600.1,0.0269,0.3573,0.0752
3446,Thecc1EG010811t1,Gorai.002G181200.1,0.0606,0.537,0.1129
3447,Thecc1EG010813t1,Gorai.005G163400.1,0.0327,0.3308,0.0988
3448,Thecc1EG010816t1,Gorai.005G163200.1,0.0166,0.4341,0.0383
3449,Thecc1EG010817t1,Gorai.005G163100.1,0.0364,0.346,0.1051
3450,Thecc1EG010820t1,Gorai.002G180700.1,0.0252,0.31,0.0813
3451,Thecc1EG010822t1,Gorai.002G180500.1,0.0181,0.3042,0.0594
3452,Thecc1EG010824t1,Gorai.005G162800.1,0.037,0.4118,0.0898
3453,Thecc1EG010832t1,Gorai.002G180400.1,0.0307,0.3245,0.0947
3454,Thecc1EG010834t1,Gorai.005G162700.1,0.0343,0.6442,0.0533
3455,Thecc1EG010837t1,Gorai.008G166400.1,0.0284,0.2727,0.104
3456,Thecc1EG047007t1,Gorai.002G180200.1,0.0266,0.4365,0.0609
3457,Thecc1EG047008t1,Gorai.005G162500.1,0.0371,0.753,0.0493
3458,Thecc1EG010843t1,Gorai.002G180000.1,0.0331,0.355,0.0933
3459,Thecc1EG010844t1,Gorai.002G179900.1,0.0135,0.2785,0.0485
3460,Thecc1EG010855t1,Gorai.002G179800.1,0.0672,0.5979,0.1124
3461,Thecc1EG010857t1,Gorai.002G179700.1,0.0416,0.6361,0.0654
3462,Thecc1EG010858t1,Gorai.005G162300.1,0.036,0.5202,0.0692
3463,Thecc1EG010861t1,Gorai.005G162000.1,0.0538,0.4251,0.1265
3464,Thecc1EG010862t1,Gorai.002G179000.1,0.0089,0.4663,0.0191
3465,Thecc1EG010868t1,Gorai.002G178800.1,0.0125,0.3158,0.0395
3466,Thecc1EG010869t1,Gorai.005G161600.1,0.0297,0.2892,0.1026
3467,Thecc1EG010872t1,Gorai.005G161500.1,0.0358,0.4194,0.0854
3468,Thecc1EG010874t1,Gorai.002G178700.1,0.0236,0.3609,0.0654
3469,Thecc1EG010876t1,Gorai.012G181100.1,0.1244,2.7686,0.0449
3470,Thecc1EG010878t1,Gorai.012G181200.1,0.0243,0.6395,0.038
3471,Thecc1EG010879t1,Gorai.005G161200.1,0.0192,0.2986,0.0642
3472,Thecc1EG010880t1,Gorai.001G109900.1,0.0401,0.2622,0.1528
3473,Thecc1EG010881t1,Gorai.005G161100.1,0.0378,0.4926,0.0768
3474,Thecc1EG010882t1,Gorai.002G178600.1,0.0202,0.2831,0.0712
3475,Thecc1EG010885t1,Gorai.005G161000.1,0.0098,0.2623,0.0375
3476,Thecc1EG010886t1,Gorai.002G178300.1,0.027,0.3928,0.0686
3477,Thecc1EG010888t1,Gorai.002G178400.1,0.0412,0.44,0.0937
3478,Thecc1EG010889t1,Gorai.009G330900.1,0.0287,0.4186,0.0686
3479,Thecc1EG010891t1,Gorai.008G167000.1,0.0688,0.6543,0.1051
3480,Thecc1EG010948t1,Gorai.002G177300.1,0.0257,0.3956,0.0649
3481,Thecc1EG010965t1,Gorai.002G177000.1,0.0105,0.4667,0.0224
3482,Thecc1EG010966t1,Gorai.012G181300.1,0.0439,0.4347,0.101
3483,Thecc1EG010968t1,Gorai.005G159500.1,0.0497,0.4493,0.1106
3484,Thecc1EG010971t1,Gorai.002G176700.1,0.0391,0.2888,0.1355
3485,Thecc1EG010972t1,Gorai.002G176600.1,0.0461,0.4049,0.1139
3486,Thecc1EG010973t1,Gorai.012G181600.1,0.0533,0.7802,0.0683
3487,Thecc1EG010974t1,Gorai.005G159800.1,0.0129,0.2906,0.0445
3488,Thecc1EG010975t1,Gorai.005G159900.1,0.0373,0.3839,0.0971
3489,Thecc1EG010978t1,Gorai.002G176300.1,0.0507,0.4032,0.1256
3490,Thecc1EG010982t1,Gorai.005G160000.1,0.0517,0.5018,0.103
3491,Thecc1EG010986t1,Gorai.002G175700.1,0.0164,0.3467,0.0472
3492,Thecc1EG010998t1,Gorai.005G159700.1,0.0341,0.3309,0.103
3493,Thecc1EG011002t1,Gorai.002G175300.1,0.0162,0.4632,0.0349
3494,Thecc1EG011012t1,Gorai.002G174400.1,0.0118,0.2101,0.0561
3495,Thecc1EG011013t1,Gorai.002G120300.1,0.0352,0.4223,0.0833
3496,Thecc1EG011014t1,Gorai.002G174200.1,0.0676,0.4544,0.1488
3497,Thecc1EG011015t1,Gorai.002G174100.1,0.0248,0.3726,0.0666
3498,Thecc1EG011016t1,Gorai.005G158900.1,0.0198,0.3221,0.0615
3499,Thecc1EG011017t1,Gorai.002G173700.1,0.0685,0.4174,0.1641
3500,Thecc1EG011019t1,Gorai.002G173400.1,0.0547,0.5697,0.096
3501,Thecc1EG011021t1,Gorai.002G173500.1,0.0223,0.5406,0.0413
3502,Thecc1EG011023t1,Gorai.008G167700.1,0.0612,0.6809,0.09
3503,Thecc1EG011030t1,Gorai.005G158300.1,0.0442,0.9331,0.0473
3504,Thecc1EG011034t1,Gorai.005G155500.1,0.041,0.539,0.0761
3505,Thecc1EG011035t1,Gorai.002G172700.1,0.043,0.4313,0.0997
3506,Thecc1EG011041t1,Gorai.008G168000.1,0.0349,0.5491,0.0636
3507,Thecc1EG011044t1,Gorai.008G168100.1,0.036,0.6545,0.0551
3508,Thecc1EG011045t1,Gorai.012G182300.1,0.0273,0.8594,0.0318
3509,Thecc1EG011046t1,Gorai.008G168200.1,0.0159,0.2719,0.0584
3510,Thecc1EG011050t1,Gorai.005G157100.1,0.0157,0.3275,0.048
3511,Thecc1EG011052t1,Gorai.005G157000.1,0.0216,0.4002,0.054
3512,Thecc1EG011053t1,Gorai.002G172000.1,0.0355,0.2867,0.1239
3513,Thecc1EG011054t1,Gorai.012G182500.1,0.0116,1.0967,0.0106
3514,Thecc1EG011055t1,Gorai.012G182600.1,0.0185,0.3974,0.0466
3515,Thecc1EG011056t1,Gorai.002G171900.1,0.0331,0.4254,0.0778
3516,Thecc1EG011057t1,Gorai.008G168300.1,0.0132,0.2852,0.0461
3517,Thecc1EG011058t1,Gorai.002G171700.1,0.0231,0.3153,0.0732
3518,Thecc1EG011059t1,Gorai.002G166800.1,0.015,0.3801,0.0395
3519,Thecc1EG011061t1,Gorai.002G166900.1,0.0536,0.5259,0.1018
3520,Thecc1EG011065t1,Gorai.012G182800.1,0.0887,0.8183,0.1084
3521,Thecc1EG011067t1,Gorai.005G156900.1,0.0332,0.3641,0.0911
3522,Thecc1EG011074t1,Gorai.005G157200.1,0.0306,0.3818,0.0801
3523,Thecc1EG011076t1,Gorai.002G167200.1,0.0457,0.558,0.082
3524,Thecc1EG011077t1,Gorai.009G329600.1,0.0573,0.4387,0.1305
3525,Thecc1EG011078t1,Gorai.002G167300.1,0.0174,0.302,0.0577
3526,Thecc1EG011079t1,Gorai.008G168600.1,0.0372,0.4873,0.0764
3527,Thecc1EG011080t1,Gorai.002G167400.1,0.0253,0.3138,0.0805
3528,Thecc1EG011082t1,Gorai.002G167500.1,0.0236,0.3394,0.0694
3529,Thecc1EG011083t1,Gorai.005G157300.1,0.0354,0.5223,0.0679
3530,Thecc1EG011084t1,Gorai.012G182900.1,0.0337,0.5,0.0674
3531,Thecc1EG011085t1,Gorai.002G167700.1,0.0216,0.3568,0.0606
3532,Thecc1EG011090t1,Gorai.009G329500.1,0.0119,0.3242,0.0366
3533,Thecc1EG011094t1,Gorai.002G167900.1,0.043,0.4245,0.1014
3534,Thecc1EG011095t1,Gorai.008G168700.1,0.0352,0.4527,0.0777
3535,Thecc1EG011096t1,Gorai.002G168100.1,0.0252,0.3931,0.064
3536,Thecc1EG011097t1,Gorai.002G168200.1,0.0532,0.4729,0.1124
3537,Thecc1EG011136t1,Gorai.002G169000.1,0.0205,0.6252,0.0328
3538,Thecc1EG011139t1,Gorai.008G168800.1,0.0303,0.2758,0.1099
3539,Thecc1EG011145t1,Gorai.005G158200.1,0.0351,0.4538,0.0773
3540,Thecc1EG011146t1,Gorai.002G169100.1,0.0381,0.4565,0.0834
3541,Thecc1EG011154t1,Gorai.002G169200.1,0.0404,0.3398,0.1189
3542,Thecc1EG011155t1,Gorai.005G155400.1,0.033,0.4208,0.0785
3543,Thecc1EG011164t1,Gorai.005G155200.1,0.0492,0.3909,0.126
3544,Thecc1EG011165t1,Gorai.005G155100.1,0.039,0.3644,0.1071
3545,Thecc1EG011166t1,Gorai.002G169300.1,0.0325,0.2563,0.1269
3546,Thecc1EG011172t1,Gorai.002G169700.1,0.0484,0.446,0.1085
3547,Thecc1EG011173t1,Gorai.012G159000.1,0.0172,0.3991,0.0431
3548,Thecc1EG011174t1,Gorai.002G169900.1,0.0147,0.4342,0.0338
3549,Thecc1EG011176t1,Gorai.002G170200.1,0.0155,0.2487,0.0625
3550,Thecc1EG011180t1,Gorai.002G170400.1,0.0283,0.3496,0.081
3551,Thecc1EG011181t1,Gorai.005G154600.1,0.0408,0.3642,0.112
3552,Thecc1EG011192t1,Gorai.002G171000.1,0.0217,0.453,0.048
3553,Thecc1EG011210t1,Gorai.002G171100.1,0.0162,0.44,0.0368
3554,Thecc1EG011212t1,Gorai.002G171200.1,0.0147,0.4085,0.036
3555,Thecc1EG011216t1,Gorai.012G183400.1,0.0798,1.8535,0.0431
3556,Thecc1EG011218t1,Gorai.012G183500.1,0.0688,0.825,0.0834
3557,Thecc1EG011219t1,Gorai.008G169700.1,0.0396,0.4089,0.0968
3558,Thecc1EG011221t1,Gorai.005G154000.1,0.021,0.472,0.0446
3559,Thecc1EG011222t1,Gorai.008G169800.1,0.0543,0.4102,0.1323
3560,Thecc1EG011224t1,Gorai.005G153900.1,0.0302,0.5004,0.0603
3561,Thecc1EG011227t1,Gorai.009G329000.1,0.0483,0.8192,0.059
3562,Thecc1EG011233t1,Gorai.012G183700.1,0.0345,0.5903,0.0585
3563,Thecc1EG011235t1,Gorai.005G153400.1,0.0318,0.4054,0.0785
3564,Thecc1EG011238t1,Gorai.008G169900.1,0.0332,0.3931,0.0846
3565,Thecc1EG011239t1,Gorai.005G153200.1,0.025,0.3435,0.0728
3566,Thecc1EG011240t1,Gorai.013G031900.1,0.0319,0.6692,0.0477
3567,Thecc1EG011242t1,Gorai.013G031700.1,0.0287,0.4726,0.0607
3568,Thecc1EG011244t1,Gorai.013G031600.1,0.0526,0.4279,0.1229
3569,Thecc1EG011246t1,Gorai.013G031500.1,0.0132,0.4236,0.0312
3570,Thecc1EG011255t1,Gorai.013G030200.1,0.0311,0.4582,0.0679
3571,Thecc1EG011256t1,Gorai.005G152900.1,0.0479,0.6604,0.0726
3572,Thecc1EG011260t1,Gorai.005G152800.1,0.0198,0.3119,0.0636
3573,Thecc1EG011262t1,Gorai.012G183800.1,0.0956,1.4714,0.065
3574,Thecc1EG011264t1,Gorai.008G170300.1,0.0359,0.9281,0.0387
3575,Thecc1EG011265t1,Gorai.008G170400.1,0.0328,0.408,0.0805
3576,Thecc1EG011266t1,Gorai.005G152700.1,0.0432,0.6182,0.0699
3577,Thecc1EG011268t1,Gorai.009G328600.1,0.0352,0.3948,0.0892
3578,Thecc1EG011269t1,Gorai.008G170700.1,0.0188,0.5017,0.0375
3579,Thecc1EG011272t1,Gorai.005G152600.1,0.0153,0.294,0.0522
3580,Thecc1EG011273t1,Gorai.009G328400.1,0.0081,0.5318,0.0152
3581,Thecc1EG011277t1,Gorai.013G029700.1,0.0326,0.414,0.0788
3582,Thecc1EG011279t1,Gorai.N013300.1,0.0225,0.3689,0.0609
3583,Thecc1EG011282t1,Gorai.009G328200.1,0.0269,0.3539,0.076
3584,Thecc1EG011284t1,Gorai.005G152400.1,0.0121,0.3942,0.0307
3585,Thecc1EG011285t1,Gorai.005G152300.1,0.0351,0.5214,0.0673
3586,Thecc1EG011286t1,Gorai.013G029300.1,0.0507,0.6351,0.0798
3587,Thecc1EG011287t1,Gorai.013G029200.1,0.0572,0.5915,0.0968
3588,Thecc1EG011288t1,Gorai.005G152200.1,0.0312,0.3671,0.085
3589,Thecc1EG011292t1,Gorai.013G029000.1,0.0408,0.4296,0.095
3590,Thecc1EG011293t1,Gorai.012G183900.1,0.0692,1.3613,0.0508
3591,Thecc1EG011294t1,Gorai.008G170900.1,0.0168,0.3694,0.0455
3592,Thecc1EG011295t1,Gorai.013G028800.1,0.0363,0.4787,0.0759
3593,Thecc1EG011296t1,Gorai.008G171000.1,0.0388,0.3297,0.1178
3594,Thecc1EG011301t1,Gorai.013G028600.1,0.0381,0.5421,0.0703
3595,Thecc1EG011302t1,Gorai.008G171100.1,0.0403,0.316,0.1276
3596,Thecc1EG011303t1,Gorai.008G171200.1,0.0354,0.505,0.0702
3597,Thecc1EG011304t1,Gorai.005G151500.1,0.0496,0.4118,0.1205
3598,Thecc1EG011305t1,Gorai.005G151400.1,0.0648,0.665,0.0974
3599,Thecc1EG011306t1,Gorai.005G151100.1,0.0278,0.3367,0.0826
3600,Thecc1EG011307t1,Gorai.008G171500.1,0.0102,0.4368,0.0233
3601,Thecc1EG011310t1,Gorai.008G171700.1,0.0188,0.2867,0.0657
3602,Thecc1EG011312t1,Gorai.013G028000.1,0.0267,0.4396,0.0607
3603,Thecc1EG011313t1,Gorai.008G172100.1,0.0481,2.312,0.0208
3604,Thecc1EG011314t1,Gorai.013G027900.1,0.0144,0.3394,0.0425
3605,Thecc1EG011315t1,Gorai.005G150800.1,0.0895,0.5557,0.1611
3606,Thecc1EG011316t1,Gorai.005G150700.1,0.0104,0.3587,0.0289
3607,Thecc1EG011317t1,Gorai.013G027800.1,0.0488,0.5693,0.0857
3608,Thecc1EG011318t1,Gorai.013G099200.1,0.038,0.3436,0.1106
3609,Thecc1EG011321t1,Gorai.005G150600.1,0.0417,0.7045,0.0592
3610,Thecc1EG011322t1,Gorai.005G150500.1,0.0303,0.4604,0.0658
3611,Thecc1EG011323t1,Gorai.008G172300.1,0.0449,0.7601,0.0591
3612,Thecc1EG011324t1,Gorai.013G099700.1,0.0254,0.443,0.0574
3613,Thecc1EG011326t1,Gorai.013G099800.1,0.0177,0.5253,0.0337
3614,Thecc1EG011328t1,Gorai.008G172500.1,0.0691,1.1542,0.0599
3615,Thecc1EG011329t1,Gorai.008G172600.1,0.041,0.5182,0.0792
3616,Thecc1EG011330t1,Gorai.005G150100.1,0.0167,0.4169,0.04
3617,Thecc1EG011332t1,Gorai.005G150000.1,0.0671,0.3612,0.1857
3618,Thecc1EG011333t1,Gorai.013G100300.1,0.0318,0.562,0.0566
3619,Thecc1EG011335t1,Gorai.008G173300.1,0.0396,0.4357,0.0908
3620,Thecc1EG011336t1,Gorai.013G100700.1,0.0433,0.3959,0.1094
3621,Thecc1EG011338t1,Gorai.013G101000.1,0.0377,0.3675,0.1025
3622,Thecc1EG011340t1,Gorai.005G149900.1,0.0296,0.4197,0.0706
3623,Thecc1EG011347t1,Gorai.008G173400.1,0.0168,0.3341,0.0502
3624,Thecc1EG011349t1,Gorai.005G149600.1,0.0149,0.3457,0.043
3625,Thecc1EG011351t1,Gorai.012G184700.1,0.0236,0.3309,0.0713
3626,Thecc1EG011353t1,Gorai.012G184600.1,0.0507,0.3294,0.1538
3627,Thecc1EG011355t1,Gorai.013G101900.1,0.0574,0.7264,0.079
3628,Thecc1EG011357t1,Gorai.008G173700.1,0.0327,0.3164,0.1034
3629,Thecc1EG011362t1,Gorai.013G101400.1,0.024,0.356,0.0673
3630,Thecc1EG011363t1,Gorai.013G101300.1,0.0397,0.4751,0.0835
3631,Thecc1EG011364t1,Gorai.012G184500.1,0.0285,0.4018,0.0709
3632,Thecc1EG011372t1,Gorai.005G149100.1,0.0255,0.4763,0.0536
3633,Thecc1EG011374t1,Gorai.013G102600.1,0.0241,0.3774,0.0639
3634,Thecc1EG011375t1,Gorai.013G102700.1,0.0233,0.4235,0.055
3635,Thecc1EG011378t1,Gorai.013G102800.1,0.0226,0.3216,0.0703
3636,Thecc1EG011379t1,Gorai.005G148900.1,0.0524,0.6294,0.0832
3637,Thecc1EG011382t1,Gorai.013G103000.1,0.0605,0.8669,0.0698
3638,Thecc1EG011384t1,Gorai.013G103300.1,0.0254,0.6322,0.0402
3639,Thecc1EG011387t1,Gorai.001G250800.1,0.0269,0.3248,0.0828
3640,Thecc1EG011388t1,Gorai.005G148700.1,0.072,0.6521,0.1105
3641,Thecc1EG011390t1,Gorai.005G148600.1,0.0306,0.3358,0.091
3642,Thecc1EG011392t1,Gorai.005G148400.1,0.0379,0.3825,0.0992
3643,Thecc1EG011396t1,Gorai.004G114900.1,0.0544,0.8222,0.0662
3644,Thecc1EG011397t1,Gorai.013G103700.1,0.0685,0.5263,0.1301
3645,Thecc1EG011398t1,Gorai.013G099000.1,0.0925,0.7371,0.1255
3646,Thecc1EG011399t1,Gorai.013G098900.1,0.0335,0.9483,0.0354
3647,Thecc1EG011412t1,Gorai.013G098800.1,0.0549,0.4393,0.125
3648,Thecc1EG011413t1,Gorai.013G098600.1,0.0483,0.4543,0.1064
3649,Thecc1EG011415t1,Gorai.013G098500.1,0.025,0.3275,0.0763
3650,Thecc1EG011416t1,Gorai.005G148200.1,0.0356,0.4549,0.0782
3651,Thecc1EG011417t1,Gorai.013G098400.1,0.0402,0.326,0.1233
3652,Thecc1EG011418t1,Gorai.008G174700.1,0.0301,0.3249,0.0925
3653,Thecc1EG011420t1,Gorai.008G174800.1,0.0594,0.5696,0.1042
3654,Thecc1EG011421t1,Gorai.005G148100.1,0.0122,0.4345,0.0281
3655,Thecc1EG011422t1,Gorai.005G148000.1,0.0305,0.345,0.0884
3656,Thecc1EG011423t1,Gorai.013G098200.1,0.0518,0.7785,0.0666
3657,Thecc1EG011424t1,Gorai.005G147900.1,0.0485,0.4924,0.0986
3658,Thecc1EG011427t1,Gorai.008G174900.1,0.0299,0.6468,0.0463
3659,Thecc1EG011431t1,Gorai.008G175000.1,0.0152,0.3363,0.0452
3660,Thecc1EG011433t1,Gorai.009G327300.1,0.0363,0.4101,0.0885
3661,Thecc1EG011440t1,Gorai.013G097700.1,0.0247,0.6003,0.0412
3662,Thecc1EG011441t1,Gorai.008G175200.1,0.0481,0.3954,0.1216
3663,Thecc1EG011442t1,Gorai.008G175300.1,0.0249,0.5327,0.0467
3664,Thecc1EG011443t1,Gorai.013G097500.1,0.0361,0.309,0.1169
