Grai	kirkii	kokia
Gorai.002G166700.1	maker-SEQ_782-augustus-gene-116.62-mRNA-1	maker-SEQ_129895-augustus-gene-2.40-mRNA-1
Gorai.002G167200.1	maker-SEQ_782-augustus-gene-233.66-mRNA-1	maker-SEQ_129718-augustus-gene-0.36-mRNA-1
Gorai.002G167300.1	maker-SEQ_782-snap-gene-233.71-mRNA-1	maker-SEQ_129718-augustus-gene-0.35-mRNA-1
Gorai.002G167500.1	maker-SEQ_782-augustus-gene-234.74-mRNA-1	augustus_masked-SEQ_130356-processed-gene-1.45-mRNA-1
Gorai.002G167700.1	maker-SEQ_782-snap-gene-234.78-mRNA-1	maker-SEQ_130356-augustus-gene-1.77-mRNA-1
Gorai.002G167900.1	maker-SEQ_782-snap-gene-235.68-mRNA-1	genemark-SEQ_130356-processed-gene-0.14-mRNA-1
Gorai.002G168100.1	maker-SEQ_782-augustus-gene-235.62-mRNA-1	augustus_masked-SEQ_130356-processed-gene-0.21-mRNA-1
Gorai.002G168200.1	maker-SEQ_782-snap-gene-235.69-mRNA-1	augustus_masked-SEQ_130356-processed-gene-0.29-mRNA-1
Gorai.002G169100.1	snap_masked-SEQ_782-processed-gene-239.41-mRNA-1	genemark-SEQ_128182-processed-gene-1.15-mRNA-1
Gorai.002G169200.1	maker-SEQ_782-snap-gene-238.57-mRNA-1	maker-SEQ_128182-augustus-gene-1.70-mRNA-1
Gorai.002G169300.1	maker-SEQ_782-augustus-gene-238.54-mRNA-1	maker-SEQ_128182-augustus-gene-1.68-mRNA-1
Gorai.002G170200.1	maker-SEQ_782-augustus-gene-120.43-mRNA-1	maker-SEQ_127459-augustus-gene-1.40-mRNA-1
Gorai.002G170400.1	augustus_masked-SEQ_782-processed-gene-119.10-mRNA-1	maker-SEQ_127459-augustus-gene-0.28-mRNA-1
Gorai.002G171100.1	maker-SEQ_532-augustus-gene-365.67-mRNA-1	maker-SEQ_126696-augustus-gene-2.54-mRNA-1
Gorai.002G172000.1	maker-SEQ_782-snap-gene-231.65-mRNA-1	maker-SEQ_129718-augustus-gene-2.39-mRNA-1
Gorai.002G172200.1	maker-SEQ_782-snap-gene-231.63-mRNA-1	maker-SEQ_129718-augustus-gene-2.40-mRNA-1
Gorai.002G173200.1	maker-SEQ_782-augustus-gene-227.61-mRNA-1	maker-SEQ_126950-augustus-gene-0.20-mRNA-1
Gorai.002G173400.1	maker-SEQ_782-snap-gene-226.89-mRNA-1	maker-SEQ_129516-augustus-gene-1.60-mRNA-1
Gorai.002G173700.1	maker-SEQ_782-snap-gene-225.72-mRNA-1	maker-SEQ_129516-augustus-gene-1.58-mRNA-1
Gorai.002G174200.1	genemark-SEQ_782-processed-gene-225.7-mRNA-1	maker-SEQ_129516-augustus-gene-1.56-mRNA-1
Gorai.002G174500.1	augustus_masked-SEQ_782-processed-gene-224.10-mRNA-1	maker-SEQ_129516-augustus-gene-0.45-mRNA-1
Gorai.002G174600.1	augustus_masked-SEQ_782-processed-gene-224.9-mRNA-1	augustus_masked-SEQ_129516-processed-gene-0.30-mRNA-1
Gorai.002G175300.1	maker-SEQ_782-augustus-gene-224.83-mRNA-1	maker-SEQ_124190-augustus-gene-0.16-mRNA-1
Gorai.002G176300.1	maker-SEQ_782-snap-gene-222.91-mRNA-1	augustus_masked-SEQ_126132-processed-gene-0.19-mRNA-1
Gorai.002G176500.1	maker-SEQ_782-snap-gene-222.89-mRNA-1	genemark-SEQ_126132-processed-gene-0.12-mRNA-1
Gorai.002G176600.1	maker-SEQ_782-augustus-gene-222.81-mRNA-1	maker-SEQ_126132-augustus-gene-1.27-mRNA-1
Gorai.002G176700.1	augustus_masked-SEQ_782-processed-gene-222.0-mRNA-1	maker-SEQ_126132-augustus-gene-1.28-mRNA-1
Gorai.002G176900.1	maker-SEQ_782-augustus-gene-221.68-mRNA-1	genemark-SEQ_126132-processed-gene-1.9-mRNA-1
Gorai.002G177100.1	maker-SEQ_782-augustus-gene-220.70-mRNA-1	genemark-SEQ_126132-processed-gene-2.3-mRNA-1
Gorai.002G177300.1	maker-SEQ_782-augustus-gene-216.76-mRNA-1	maker-SEQ_126132-augustus-gene-2.49-mRNA-1
Gorai.002G177600.1	maker-SEQ_782-augustus-gene-216.77-mRNA-1	augustus_masked-SEQ_126132-processed-gene-2.45-mRNA-1
Gorai.002G178300.1	maker-SEQ_782-augustus-gene-218.69-mRNA-1	maker-SEQ_128932-augustus-gene-0.50-mRNA-1
Gorai.002G178400.1	maker-SEQ_782-snap-gene-218.73-mRNA-1	augustus_masked-SEQ_128932-processed-gene-0.32-mRNA-1
Gorai.002G178700.1	maker-SEQ_782-augustus-gene-219.62-mRNA-1	maker-SEQ_130311-augustus-gene-0.32-mRNA-1
Gorai.002G178800.1	maker-SEQ_782-augustus-gene-129.69-mRNA-1	maker-SEQ_130311-augustus-gene-1.42-mRNA-1
Gorai.002G179800.1	maker-SEQ_782-snap-gene-364.81-mRNA-1	maker-SEQ_130311-augustus-gene-4.48-mRNA-1
Gorai.002G179900.1	genemark-SEQ_782-processed-gene-125.23-mRNA-1	maker-SEQ_124143-augustus-gene-0.53-mRNA-1
Gorai.002G180000.1	genemark-SEQ_782-processed-gene-126.12-mRNA-1	maker-SEQ_124143-augustus-gene-0.52-mRNA-1
Gorai.002G180200.1	maker-SEQ_782-augustus-gene-125.48-mRNA-1	maker-SEQ_124143-augustus-gene-0.49-mRNA-1
Gorai.002G180300.1	maker-SEQ_782-augustus-gene-125.47-mRNA-1	augustus_masked-SEQ_124143-processed-gene-0.31-mRNA-1
Gorai.002G180400.1	maker-SEQ_782-snap-gene-125.55-mRNA-1	maker-SEQ_124143-augustus-gene-0.51-mRNA-1
Gorai.002G180700.1	maker-SEQ_782-snap-gene-124.70-mRNA-1	maker-SEQ_124143-augustus-gene-0.50-mRNA-1
Gorai.002G181300.1	maker-SEQ_782-augustus-gene-124.62-mRNA-1	maker-SEQ_127906-augustus-gene-0.27-mRNA-1
Gorai.002G181600.1	maker-SEQ_782-augustus-gene-123.47-mRNA-1	maker-SEQ_128648-augustus-gene-0.44-mRNA-1
Gorai.002G181700.1	maker-SEQ_782-augustus-gene-122.72-mRNA-1	augustus_masked-SEQ_128648-processed-gene-0.33-mRNA-1
Gorai.002G181900.1	maker-SEQ_782-augustus-gene-122.71-mRNA-1	maker-SEQ_128648-augustus-gene-0.45-mRNA-1
Gorai.002G182600.1	maker-SEQ_782-snap-gene-122.75-mRNA-1	maker-SEQ_128648-augustus-gene-1.77-mRNA-1
Gorai.002G182700.1	augustus_masked-SEQ_782-processed-gene-121.15-mRNA-1	maker-SEQ_128648-augustus-gene-1.72-mRNA-1
Gorai.002G183300.1	maker-SEQ_782-augustus-gene-364.79-mRNA-1	maker-SEQ_128648-augustus-gene-1.79-mRNA-1
Gorai.002G183600.1	maker-SEQ_782-augustus-gene-365.65-mRNA-1	augustus_masked-SEQ_130352-processed-gene-1.19-mRNA-1
Gorai.002G183700.1	maker-SEQ_782-augustus-gene-365.66-mRNA-1	maker-SEQ_130352-augustus-gene-1.30-mRNA-1
Gorai.002G183900.1	maker-SEQ_782-snap-gene-365.70-mRNA-1	maker-SEQ_130352-augustus-gene-1.31-mRNA-1
Gorai.002G184000.1	maker-SEQ_782-augustus-gene-366.62-mRNA-1	augustus_masked-SEQ_130352-processed-gene-1.26-mRNA-1
Gorai.002G184100.1	maker-SEQ_782-snap-gene-366.69-mRNA-1	genemark-SEQ_130352-processed-gene-1.14-mRNA-1
Gorai.002G184600.1	maker-SEQ_782-augustus-gene-366.61-mRNA-1	maker-SEQ_130352-augustus-gene-2.83-mRNA-1
Gorai.002G184700.1	maker-SEQ_782-augustus-gene-366.64-mRNA-1	augustus_masked-SEQ_130352-processed-gene-2.65-mRNA-1
Gorai.002G185100.1	augustus_masked-SEQ_782-processed-gene-367.2-mRNA-1	augustus_masked-SEQ_128814-processed-gene-0.24-mRNA-1
Gorai.002G185300.1	maker-SEQ_782-augustus-gene-367.68-mRNA-1	maker-SEQ_128814-augustus-gene-0.41-mRNA-1
Gorai.002G185700.1	maker-SEQ_782-augustus-gene-367.70-mRNA-1	maker-SEQ_128814-augustus-gene-0.43-mRNA-1
Gorai.002G185900.1	maker-SEQ_782-augustus-gene-367.72-mRNA-1	genemark-SEQ_128814-processed-gene-0.20-mRNA-1
Gorai.002G186500.1	maker-SEQ_782-augustus-gene-368.59-mRNA-1	augustus_masked-SEQ_127452-processed-gene-0.35-mRNA-1
Gorai.002G186600.1	maker-SEQ_782-snap-gene-368.61-mRNA-1	maker-SEQ_127452-augustus-gene-0.39-mRNA-1
Gorai.002G187200.1	maker-SEQ_782-augustus-gene-369.139-mRNA-1	maker-SEQ_127452-augustus-gene-0.41-mRNA-1
Gorai.002G187500.1	genemark-SEQ_782-processed-gene-369.44-mRNA-1	genemark-SEQ_127452-processed-gene-0.12-mRNA-1
Gorai.002G187700.1	maker-SEQ_782-augustus-gene-369.142-mRNA-1	maker-SEQ_120706-augustus-gene-0.41-mRNA-1
Gorai.002G188000.1	maker-SEQ_782-augustus-gene-369.143-mRNA-1	maker-SEQ_120706-augustus-gene-0.42-mRNA-1
Gorai.002G188100.1	maker-SEQ_782-snap-gene-369.152-mRNA-1	maker-SEQ_120706-augustus-gene-0.44-mRNA-1
Gorai.002G188300.1	snap_masked-SEQ_782-processed-gene-369.108-mRNA-1	maker-SEQ_120706-augustus-gene-0.40-mRNA-1
Gorai.002G188600.1	maker-SEQ_393-augustus-gene-323.65-mRNA-1	maker-SEQ_120706-augustus-gene-1.48-mRNA-1
Gorai.002G188900.1	maker-SEQ_393-augustus-gene-323.67-mRNA-1	maker-SEQ_120706-augustus-gene-1.55-mRNA-1
Gorai.002G189100.1	maker-SEQ_393-snap-gene-323.70-mRNA-1	genemark-SEQ_120706-processed-gene-1.7-mRNA-1
Gorai.002G189900.1	maker-SEQ_393-augustus-gene-324.50-mRNA-1	maker-SEQ_120706-augustus-gene-1.56-mRNA-1
Gorai.002G190600.1	maker-SEQ_393-snap-gene-325.58-mRNA-1	maker-SEQ_129822-augustus-gene-0.68-mRNA-1
Gorai.002G190800.1	maker-SEQ_393-snap-gene-325.60-mRNA-1	maker-SEQ_129822-augustus-gene-0.66-mRNA-1
Gorai.002G191200.1	maker-SEQ_782-augustus-gene-243.88-mRNA-1	genemark-SEQ_111401-processed-gene-0.2-mRNA-1
Gorai.002G192700.1	maker-SEQ_782-augustus-gene-132.81-mRNA-1	genemark-SEQ_127462-processed-gene-0.13-mRNA-1
Gorai.002G193500.1	maker-SEQ_782-augustus-gene-132.80-mRNA-1	maker-SEQ_127462-augustus-gene-0.82-mRNA-1
Gorai.002G193700.1	maker-SEQ_782-augustus-gene-131.69-mRNA-1	maker-SEQ_119419-augustus-gene-0.17-mRNA-1
Gorai.002G193800.1	maker-SEQ_782-snap-gene-131.73-mRNA-1	maker-SEQ_119419-augustus-gene-0.16-mRNA-1
Gorai.002G193900.1	genemark-SEQ_782-processed-gene-131.28-mRNA-1	maker-SEQ_130068-augustus-gene-0.43-mRNA-1
Gorai.002G194000.1	maker-SEQ_782-augustus-gene-131.66-mRNA-1	maker-SEQ_130068-augustus-gene-0.42-mRNA-1
Gorai.002G195400.1	maker-SEQ_782-augustus-gene-133.60-mRNA-1	augustus_masked-SEQ_115157-processed-gene-0.13-mRNA-1
Gorai.002G195500.1	maker-SEQ_782-augustus-gene-133.61-mRNA-1	maker-SEQ_115157-augustus-gene-0.19-mRNA-1
Gorai.002G195700.1	maker-SEQ_782-snap-gene-134.74-mRNA-1	maker-SEQ_115157-augustus-gene-0.22-mRNA-1
Gorai.002G195800.1	maker-SEQ_782-augustus-gene-134.66-mRNA-1	maker-SEQ_116217-augustus-gene-0.25-mRNA-1
Gorai.002G196200.1	maker-SEQ_782-augustus-gene-134.70-mRNA-1	augustus_masked-SEQ_116217-processed-gene-0.14-mRNA-1
Gorai.002G196700.1	maker-SEQ_782-augustus-gene-135.58-mRNA-1	genemark-SEQ_114101-processed-gene-0.5-mRNA-1
Gorai.002G196900.1	maker-SEQ_782-snap-gene-135.62-mRNA-1	maker-SEQ_114101-augustus-gene-0.40-mRNA-1
Gorai.002G197400.1	maker-SEQ_782-snap-gene-137.71-mRNA-1	maker-SEQ_129893-augustus-gene-0.35-mRNA-1
Gorai.002G197700.1	maker-SEQ_782-augustus-gene-137.63-mRNA-1	genemark-SEQ_129893-processed-gene-0.5-mRNA-1
Gorai.002G198000.1	maker-SEQ_782-augustus-gene-137.68-mRNA-1	maker-SEQ_129893-augustus-gene-0.43-mRNA-1
Gorai.002G198300.1	maker-SEQ_782-augustus-gene-138.66-mRNA-1	maker-SEQ_129893-augustus-gene-0.40-mRNA-1
Gorai.002G198400.1	maker-SEQ_782-augustus-gene-138.71-mRNA-1	maker-SEQ_129893-augustus-gene-0.44-mRNA-1
Gorai.002G198600.1	maker-SEQ_782-augustus-gene-138.68-mRNA-1	maker-SEQ_129893-augustus-gene-0.41-mRNA-1
Gorai.002G198700.1	maker-SEQ_782-augustus-gene-138.69-mRNA-1	maker-SEQ_129893-augustus-gene-0.42-mRNA-1
Gorai.002G199200.1	genemark-SEQ_782-processed-gene-138.36-mRNA-1	maker-SEQ_129893-augustus-gene-1.38-mRNA-1
Gorai.002G200100.1	maker-SEQ_782-snap-gene-139.75-mRNA-1	maker-SEQ_127921-augustus-gene-0.28-mRNA-1
Gorai.002G200200.1	maker-SEQ_782-snap-gene-139.76-mRNA-1	maker-SEQ_127921-augustus-gene-0.27-mRNA-1
Gorai.002G201100.1	maker-SEQ_782-augustus-gene-140.72-mRNA-1	maker-SEQ_130366-augustus-gene-0.39-mRNA-1
Gorai.002G201300.1	maker-SEQ_782-augustus-gene-140.75-mRNA-1	maker-SEQ_130366-augustus-gene-1.64-mRNA-1
Gorai.002G201600.1	maker-SEQ_782-augustus-gene-140.76-mRNA-1	augustus_masked-SEQ_130366-processed-gene-1.51-mRNA-1
Gorai.002G202000.1	maker-SEQ_782-augustus-gene-141.70-mRNA-1	maker-SEQ_130366-augustus-gene-1.66-mRNA-1
Gorai.002G202200.1	maker-SEQ_782-augustus-gene-141.71-mRNA-1	maker-SEQ_130366-augustus-gene-1.67-mRNA-1
Gorai.002G202400.1	maker-SEQ_782-augustus-gene-141.67-mRNA-1	maker-SEQ_130366-augustus-gene-1.62-mRNA-1
Gorai.002G202500.1	maker-SEQ_782-augustus-gene-141.73-mRNA-1	maker-SEQ_130366-augustus-gene-1.69-mRNA-1
Gorai.002G205400.1	maker-SEQ_782-augustus-gene-142.79-mRNA-1	maker-SEQ_127142-augustus-gene-0.71-mRNA-1
Gorai.002G205600.1	maker-SEQ_623-augustus-gene-0.12-mRNA-1	genemark-SEQ_127142-processed-gene-0.5-mRNA-1
Gorai.002G205700.1	maker-SEQ_782-augustus-gene-143.76-mRNA-1	maker-SEQ_127142-augustus-gene-0.72-mRNA-1
Gorai.002G205900.1	maker-SEQ_782-snap-gene-143.80-mRNA-1	maker-SEQ_127142-augustus-gene-0.62-mRNA-1
Gorai.002G206100.1	maker-SEQ_782-augustus-gene-143.77-mRNA-1	maker-SEQ_127142-augustus-gene-0.74-mRNA-1
Gorai.002G206200.1	maker-SEQ_782-snap-gene-143.82-mRNA-1	maker-SEQ_127142-augustus-gene-0.64-mRNA-1
Gorai.002G206400.1	maker-SEQ_782-augustus-gene-143.72-mRNA-1	maker-SEQ_127142-augustus-gene-0.65-mRNA-1
Gorai.002G206500.1	maker-SEQ_782-snap-gene-143.84-mRNA-1	maker-SEQ_127142-augustus-gene-0.66-mRNA-1
Gorai.002G206700.1	maker-SEQ_782-snap-gene-143.85-mRNA-1	maker-SEQ_127142-augustus-gene-0.67-mRNA-1
Gorai.002G206800.1	maker-SEQ_782-snap-gene-144.65-mRNA-1	maker-SEQ_127142-augustus-gene-0.75-mRNA-1
Gorai.002G207000.1	maker-SEQ_782-augustus-gene-144.60-mRNA-1	maker-SEQ_130381-augustus-gene-2.39-mRNA-1
Gorai.002G207200.1	maker-SEQ_782-snap-gene-144.63-mRNA-1	maker-SEQ_130381-augustus-gene-2.34-mRNA-1
Gorai.002G207500.1	maker-SEQ_782-augustus-gene-145.81-mRNA-1	genemark-SEQ_130381-processed-gene-2.6-mRNA-1
Gorai.002G208700.1	maker-SEQ_782-augustus-gene-145.82-mRNA-1	augustus_masked-SEQ_130381-processed-gene-3.32-mRNA-1
Gorai.002G208800.1	maker-SEQ_782-augustus-gene-145.90-mRNA-1	maker-SEQ_130381-augustus-gene-3.56-mRNA-1
Gorai.002G209000.1	maker-SEQ_782-snap-gene-145.94-mRNA-1	maker-SEQ_130381-augustus-gene-3.48-mRNA-1
Gorai.002G209100.1	maker-SEQ_782-augustus-gene-145.84-mRNA-1	augustus_masked-SEQ_130381-processed-gene-3.34-mRNA-1
Gorai.002G209300.1	maker-SEQ_782-augustus-gene-145.85-mRNA-1	maker-SEQ_130381-augustus-gene-3.50-mRNA-1
Gorai.002G211000.1	augustus_masked-SEQ_782-processed-gene-146.13-mRNA-1	augustus_masked-SEQ_115728-processed-gene-0.13-mRNA-1
Gorai.002G211100.1	maker-SEQ_782-augustus-gene-146.81-mRNA-1	augustus_masked-SEQ_115728-processed-gene-0.18-mRNA-1
Gorai.002G211200.1	maker-SEQ_782-snap-gene-146.93-mRNA-1	augustus_masked-SEQ_126927-processed-gene-0.24-mRNA-1
Gorai.002G211400.1	maker-SEQ_782-snap-gene-146.94-mRNA-1	augustus_masked-SEQ_126927-processed-gene-0.23-mRNA-1
Gorai.002G211500.1	maker-SEQ_782-augustus-gene-147.66-mRNA-1	augustus_masked-SEQ_126927-processed-gene-0.22-mRNA-1
Gorai.002G211600.1	maker-SEQ_782-augustus-gene-147.68-mRNA-1	maker-SEQ_126927-augustus-gene-0.28-mRNA-1
Gorai.002G211700.1	augustus_masked-SEQ_782-processed-gene-147.10-mRNA-1	maker-SEQ_126927-augustus-gene-0.26-mRNA-1
Gorai.002G211900.1	maker-SEQ_782-snap-gene-147.80-mRNA-1	maker-SEQ_126286-augustus-gene-0.51-mRNA-1
Gorai.002G212400.1	maker-SEQ_782-augustus-gene-148.76-mRNA-1	maker-SEQ_126286-augustus-gene-0.48-mRNA-1
Gorai.002G213200.1	maker-SEQ_782-augustus-gene-150.71-mRNA-1	maker-SEQ_130359-augustus-gene-1.64-mRNA-1
Gorai.002G213300.1	maker-SEQ_782-snap-gene-150.85-mRNA-1	maker-SEQ_130359-augustus-gene-1.65-mRNA-1
Gorai.002G213400.1	maker-SEQ_782-snap-gene-150.86-mRNA-1	maker-SEQ_130359-augustus-gene-1.66-mRNA-1
Gorai.002G213600.1	maker-SEQ_782-augustus-gene-150.74-mRNA-1	augustus_masked-SEQ_130296-processed-gene-3.40-mRNA-1
Gorai.002G213700.1	augustus_masked-SEQ_782-processed-gene-150.21-mRNA-1	maker-SEQ_130296-augustus-gene-3.44-mRNA-1
Gorai.002G213800.1	maker-SEQ_782-augustus-gene-150.68-mRNA-1	maker-SEQ_130296-augustus-gene-4.39-mRNA-1
Gorai.002G213900.1	snap_masked-SEQ_782-processed-gene-150.47-mRNA-1	augustus_masked-SEQ_130296-processed-gene-4.22-mRNA-1
Gorai.002G214200.1	maker-SEQ_782-augustus-gene-150.69-mRNA-1	maker-SEQ_130296-augustus-gene-4.40-mRNA-1
Gorai.002G214300.1	snap_masked-SEQ_782-processed-gene-150.54-mRNA-1	maker-SEQ_130296-augustus-gene-4.41-mRNA-1
Gorai.002G214500.1	snap_masked-SEQ_782-processed-gene-150.64-mRNA-1	maker-SEQ_130296-augustus-gene-4.43-mRNA-1
Gorai.002G214700.1	maker-SEQ_782-snap-gene-151.72-mRNA-1	maker-SEQ_130296-augustus-gene-4.44-mRNA-1
Gorai.002G215800.1	maker-SEQ_782-augustus-gene-151.71-mRNA-1	maker-SEQ_130296-augustus-gene-5.54-mRNA-1
Gorai.002G216000.1	maker-SEQ_782-augustus-gene-152.51-mRNA-1	maker-SEQ_130296-augustus-gene-5.49-mRNA-1
Gorai.002G216100.1	maker-SEQ_782-augustus-gene-152.52-mRNA-1	maker-SEQ_130296-augustus-gene-5.50-mRNA-1
Gorai.002G216500.1	maker-SEQ_782-snap-gene-152.67-mRNA-1	augustus_masked-SEQ_130296-processed-gene-5.45-mRNA-1
Gorai.002G216800.1	genemark-SEQ_782-processed-gene-152.17-mRNA-1	maker-SEQ_130296-augustus-gene-5.53-mRNA-1
Gorai.002G216900.1	maker-SEQ_782-augustus-gene-152.58-mRNA-1	maker-SEQ_130296-augustus-gene-5.58-mRNA-1
Gorai.002G217300.1	maker-SEQ_782-augustus-gene-153.83-mRNA-1	maker-SEQ_130319-augustus-gene-0.36-mRNA-1
Gorai.002G217600.1	maker-SEQ_782-augustus-gene-153.87-mRNA-1	maker-SEQ_130319-augustus-gene-0.38-mRNA-1
Gorai.002G217800.1	maker-SEQ_782-augustus-gene-153.84-mRNA-1	maker-SEQ_130319-augustus-gene-1.37-mRNA-1
Gorai.002G218000.1	maker-SEQ_782-augustus-gene-153.90-mRNA-1	maker-SEQ_130319-augustus-gene-0.41-mRNA-1
Gorai.002G218200.1	maker-SEQ_782-augustus-gene-153.88-mRNA-1	maker-SEQ_130319-augustus-gene-0.39-mRNA-1
Gorai.002G218400.1	maker-SEQ_782-augustus-gene-153.91-mRNA-1	maker-SEQ_130319-augustus-gene-1.38-mRNA-1
Gorai.002G218600.1	maker-SEQ_782-augustus-gene-154.53-mRNA-1	maker-SEQ_111158-augustus-gene-0.27-mRNA-1
Gorai.002G218700.1	maker-SEQ_782-snap-gene-154.62-mRNA-1	maker-SEQ_111158-augustus-gene-0.28-mRNA-1
Gorai.002G219000.1	augustus_masked-SEQ_782-processed-gene-154.25-mRNA-1	maker-SEQ_111158-augustus-gene-0.32-mRNA-1
Gorai.002G219300.1	maker-SEQ_782-augustus-gene-154.60-mRNA-1	maker-SEQ_111158-augustus-gene-0.33-mRNA-1
Gorai.002G219800.1	augustus_masked-SEQ_782-processed-gene-155.3-mRNA-1	maker-SEQ_130296-augustus-gene-0.27-mRNA-1
Gorai.002G219900.1	maker-SEQ_782-snap-gene-155.56-mRNA-1	maker-SEQ_130296-augustus-gene-0.28-mRNA-1
Gorai.002G220000.1	maker-SEQ_782-augustus-gene-155.50-mRNA-1	maker-SEQ_130296-augustus-gene-0.31-mRNA-1
Gorai.002G220500.1	maker-SEQ_782-snap-gene-155.61-mRNA-1	maker-SEQ_130296-augustus-gene-1.36-mRNA-1
Gorai.002G221000.1	maker-SEQ_782-snap-gene-156.70-mRNA-1	maker-SEQ_130296-augustus-gene-1.37-mRNA-1
Gorai.002G221600.1	maker-SEQ_782-augustus-gene-156.60-mRNA-1	genemark-SEQ_130296-processed-gene-2.3-mRNA-1
Gorai.002G222000.1	maker-SEQ_782-snap-gene-157.87-mRNA-1	genemark-SEQ_130296-processed-gene-2.8-mRNA-1
Gorai.002G222100.1	maker-SEQ_782-augustus-gene-157.77-mRNA-1	maker-SEQ_130296-augustus-gene-2.49-mRNA-1
Gorai.002G222200.1	maker-SEQ_782-augustus-gene-157.78-mRNA-1	maker-SEQ_130296-augustus-gene-2.50-mRNA-1
Gorai.002G222300.1	maker-SEQ_782-snap-gene-157.88-mRNA-1	maker-SEQ_130296-augustus-gene-2.46-mRNA-1
Gorai.002G222400.1	maker-SEQ_782-augustus-gene-157.79-mRNA-1	maker-SEQ_130296-augustus-gene-2.51-mRNA-1
Gorai.002G222500.1	augustus_masked-SEQ_782-processed-gene-157.7-mRNA-1	genemark-SEQ_130296-processed-gene-2.12-mRNA-1
Gorai.002G222700.1	augustus_masked-SEQ_782-processed-gene-157.14-mRNA-1	maker-SEQ_130296-augustus-gene-2.53-mRNA-1
Gorai.002G222800.1	maker-SEQ_782-snap-gene-157.92-mRNA-1	maker-SEQ_130296-augustus-gene-3.41-mRNA-1
Gorai.002G222900.1	maker-SEQ_782-augustus-gene-157.82-mRNA-1	maker-SEQ_130296-augustus-gene-3.45-mRNA-1
Gorai.002G223800.1	genemark-SEQ_782-processed-gene-158.8-mRNA-1	genemark-SEQ_130296-processed-gene-3.7-mRNA-1
Gorai.002G223900.1	genemark-SEQ_782-processed-gene-158.22-mRNA-1	genemark-SEQ_126604-processed-gene-0.14-mRNA-1
Gorai.002G224200.1	maker-SEQ_782-augustus-gene-159.63-mRNA-1	maker-SEQ_126604-augustus-gene-0.54-mRNA-1
Gorai.002G224300.1	maker-SEQ_782-augustus-gene-159.64-mRNA-1	maker-SEQ_126604-augustus-gene-0.53-mRNA-1
Gorai.002G224800.1	augustus_masked-SEQ_782-processed-gene-159.4-mRNA-1	augustus_masked-SEQ_126604-processed-gene-0.44-mRNA-1
Gorai.002G225000.1	maker-SEQ_782-augustus-gene-159.66-mRNA-1	maker-SEQ_126604-augustus-gene-0.51-mRNA-1
Gorai.002G225700.1	augustus_masked-SEQ_782-processed-gene-159.14-mRNA-1	maker-SEQ_124925-augustus-gene-0.47-mRNA-1
Gorai.002G225800.1	maker-SEQ_782-snap-gene-159.72-mRNA-1	genemark-SEQ_124925-processed-gene-0.1-mRNA-1
Gorai.002G225900.1	maker-SEQ_782-augustus-gene-160.61-mRNA-1	maker-SEQ_124925-augustus-gene-0.48-mRNA-1
Gorai.002G226000.1	maker-SEQ_782-snap-gene-160.69-mRNA-1	maker-SEQ_124925-augustus-gene-0.49-mRNA-1
Gorai.002G226100.1	maker-SEQ_782-snap-gene-160.66-mRNA-1	maker-SEQ_124925-augustus-gene-0.44-mRNA-1
Gorai.002G226200.1	maker-SEQ_782-augustus-gene-160.63-mRNA-1	maker-SEQ_124925-augustus-gene-0.50-mRNA-1
Gorai.002G226400.1	maker-SEQ_782-snap-gene-160.72-mRNA-1	genemark-SEQ_124925-processed-gene-0.17-mRNA-1
Gorai.002G226600.1	maker-SEQ_782-snap-gene-160.67-mRNA-1	maker-SEQ_124925-augustus-gene-0.46-mRNA-1
Gorai.002G227000.1	maker-SEQ_782-snap-gene-161.85-mRNA-1	maker-SEQ_129124-augustus-gene-1.41-mRNA-1
Gorai.002G227500.1	genemark-SEQ_782-processed-gene-161.28-mRNA-1	genemark-SEQ_129124-processed-gene-1.8-mRNA-1
Gorai.002G227600.1	maker-SEQ_782-augustus-gene-161.81-mRNA-1	maker-SEQ_129124-augustus-gene-1.43-mRNA-1
Gorai.002G228200.1	maker-SEQ_782-augustus-gene-162.58-mRNA-1	maker-SEQ_129124-augustus-gene-2.46-mRNA-1
Gorai.002G228500.1	maker-SEQ_782-augustus-gene-162.63-mRNA-1	maker-SEQ_129124-augustus-gene-2.55-mRNA-1
Gorai.002G228700.1	maker-SEQ_782-snap-gene-162.76-mRNA-1	maker-SEQ_129124-augustus-gene-2.57-mRNA-1
Gorai.002G228900.1	maker-SEQ_782-augustus-gene-162.66-mRNA-1	maker-SEQ_129124-augustus-gene-2.58-mRNA-1
Gorai.002G229400.1	maker-SEQ_782-augustus-gene-163.64-mRNA-1	maker-SEQ_129124-augustus-gene-2.53-mRNA-1
Gorai.002G229800.1	maker-SEQ_782-augustus-gene-163.69-mRNA-1	maker-SEQ_129124-augustus-gene-0.30-mRNA-1
Gorai.002G229900.1	augustus_masked-SEQ_782-processed-gene-163.5-mRNA-1	maker-SEQ_129124-augustus-gene-0.33-mRNA-1
Gorai.002G230000.1	maker-SEQ_782-augustus-gene-163.71-mRNA-1	maker-SEQ_129124-augustus-gene-0.28-mRNA-1
Gorai.002G230300.1	maker-SEQ_782-snap-gene-163.78-mRNA-1	maker-SEQ_129124-augustus-gene-0.32-mRNA-1
Gorai.002G230400.1	maker-SEQ_782-snap-gene-164.57-mRNA-1	maker-SEQ_129124-augustus-gene-0.31-mRNA-1
